stamp,image_file,width,height,rtsp_url
1779862678.509106874,hikvision_1779862678_509107.png,3840,2160,rtsp://admin:****@192.168.1.64:554/Streaming/Channels/101
1779869914.968210936,hikvision_1779869914_968211.png,3840,2160,rtsp://admin:****@192.168.1.64:554/Streaming/Channels/101
1779869916.524258852,hikvision_1779869916_524259.png,3840,2160,rtsp://admin:****@192.168.1.64:554/Streaming/Channels/101
1779869917.969894171,hikvision_1779869917_969894.png,3840,2160,rtsp://admin:****@192.168.1.64:554/Streaming/Channels/101
1779869938.516128778,hikvision_1779869938_516129.png,3840,2160,rtsp://admin:****@192.168.1.64:554/Streaming/Channels/101
1779869939.737882376,hikvision_1779869939_737882.png,3840,2160,rtsp://admin:****@192.168.1.64:554/Streaming/Channels/101
1779869941.523506165,hikvision_1779869941_523506.png,3840,2160,rtsp://admin:****@192.168.1.64:554/Streaming/Channels/101
1779869943.292753696,hikvision_1779869943_292754.png,3840,2160,rtsp://admin:****@192.168.1.64:554/Streaming/Channels/101
1779869945.525759935,hikvision_1779869945_525760.png,3840,2160,rtsp://admin:****@192.168.1.64:554/Streaming/Channels/101
1779869950.374415874,hikvision_1779869950_374416.png,3840,2160,rtsp://admin:****@192.168.1.64:554/Streaming/Channels/101
1779869952.283294201,hikvision_1779869952_283294.png,3840,2160,rtsp://admin:****@192.168.1.64:554/Streaming/Channels/101
1779869953.965047598,hikvision_1779869953_965048.png,3840,2160,rtsp://admin:****@192.168.1.64:554/Streaming/Channels/101
1779869957.581431866,hikvision_1779869957_581432.png,3840,2160,rtsp://admin:****@192.168.1.64:554/Streaming/Channels/101
1779869961.258881092,hikvision_1779869961_258881.png,3840,2160,rtsp://admin:****@192.168.1.64:554/Streaming/Channels/101
1779869963.988317966,hikvision_1779869963_988318.png,3840,2160,rtsp://admin:****@192.168.1.64:554/Streaming/Channels/101
1779870136.159339666,hikvision_1779870136_159340.png,3840,2160,rtsp://admin:****@192.168.1.64:554/Streaming/Channels/101
1779870145.563998938,hikvision_1779870145_563999.png,3840,2160,rtsp://admin:****@192.168.1.64:554/Streaming/Channels/101
1779870153.558933020,hikvision_1779870153_558933.png,3840,2160,rtsp://admin:****@192.168.1.64:554/Streaming/Channels/101
1779870161.792789459,hikvision_1779870161_792789.png,3840,2160,rtsp://admin:****@192.168.1.64:554/Streaming/Channels/101
1779870164.532763958,hikvision_1779870164_532764.png,3840,2160,rtsp://admin:****@192.168.1.64:554/Streaming/Channels/101
1779870165.857378483,hikvision_1779870165_857378.png,3840,2160,rtsp://admin:****@192.168.1.64:554/Streaming/Channels/101
1779870182.161900520,hikvision_1779870182_161901.png,3840,2160,rtsp://admin:****@192.168.1.64:554/Streaming/Channels/101
1779870183.522762060,hikvision_1779870183_522762.png,3840,2160,rtsp://admin:****@192.168.1.64:554/Streaming/Channels/101
1779870184.903146982,hikvision_1779870184_903147.png,3840,2160,rtsp://admin:****@192.168.1.64:554/Streaming/Channels/101
1779870191.880822182,hikvision_1779870191_880822.png,3840,2160,rtsp://admin:****@192.168.1.64:554/Streaming/Channels/101
1779870192.949476957,hikvision_1779870192_949477.png,3840,2160,rtsp://admin:****@192.168.1.64:554/Streaming/Channels/101
1779870193.761624813,hikvision_1779870193_761625.png,3840,2160,rtsp://admin:****@192.168.1.64:554/Streaming/Channels/101
1779870202.527184010,hikvision_1779870202_527184.png,3840,2160,rtsp://admin:****@192.168.1.64:554/Streaming/Channels/101
1779870206.675136328,hikvision_1779870206_675136.png,3840,2160,rtsp://admin:****@192.168.1.64:554/Streaming/Channels/101
1779870212.103777170,hikvision_1779870212_103777.png,3840,2160,rtsp://admin:****@192.168.1.64:554/Streaming/Channels/101
1779870213.590326309,hikvision_1779870213_590326.png,3840,2160,rtsp://admin:****@192.168.1.64:554/Streaming/Channels/101
1779871488.309801579,hikvision_1779871488_309802.png,3840,2160,rtsp://admin:****@192.168.1.64:554/Streaming/Channels/101
1779871490.982446671,hikvision_1779871490_982447.png,3840,2160,rtsp://admin:****@192.168.1.64:554/Streaming/Channels/101
1779871519.265819311,hikvision_1779871519_265819.png,3840,2160,rtsp://admin:****@192.168.1.64:554/Streaming/Channels/101
1779871610.271963120,hikvision_1779871610_271963.png,3840,2160,rtsp://admin:****@192.168.1.64:554/Streaming/Channels/101
1779871619.158362389,hikvision_1779871619_158362.png,3840,2160,rtsp://admin:****@192.168.1.64:554/Streaming/Channels/101
1779871620.734759331,hikvision_1779871620_734759.png,3840,2160,rtsp://admin:****@192.168.1.64:554/Streaming/Channels/101
1779871624.002125502,hikvision_1779871624_002126.png,3840,2160,rtsp://admin:****@192.168.1.64:554/Streaming/Channels/101
1779871626.254860640,hikvision_1779871626_254861.png,3840,2160,rtsp://admin:****@192.168.1.64:554/Streaming/Channels/101
1779871628.249256611,hikvision_1779871628_249257.png,3840,2160,rtsp://admin:****@192.168.1.64:554/Streaming/Channels/101
1779871630.336273670,hikvision_1779871630_336274.png,3840,2160,rtsp://admin:****@192.168.1.64:554/Streaming/Channels/101
1779871635.763403416,hikvision_1779871635_763403.png,3840,2160,rtsp://admin:****@192.168.1.64:554/Streaming/Channels/101
1779871637.053347826,hikvision_1779871637_053348.png,3840,2160,rtsp://admin:****@192.168.1.64:554/Streaming/Channels/101
